ID;CENTER;BUILDING;FLOOR;SECTOR;IP;VLAN;HOSTNAME;PROCESSOR;MEMORYRAM;OPERATIVESYSTEM;MOTHERBOARD;PERIPHERALS;STORAGECAPACITY;STORAGETYPE;MONITORBRAND;MONITORMODEL;MONITORSIZE;INT;SOFTWAREINSTALLED;COMMENTS;BUILDINGKEY;FLOORKEY;SECTORKEY
1;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;FARMACIA;10.0.3.84;10;DEPO-FARMA-03;I7;4GB;Windows 10 Pro;Gigabyte H110M;Ricoh MP 401;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Open Office;NO COMMENT;ed-central;subsuelo;farmacia
2;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;FARMACIA;10.0.2.191;10;DEPO-FARMA-04;I5;4GB;Windows 10 Pro;Gigabyte H81M;Ricoh MP 402;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Open Office;NO COMMENT;ed-central;subsuelo;farmacia
3;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;FARMACIA;10.0.2.7;10;DEPO-FARMA-02;I7;8GB;Windows 10 Pro;Gigabyte H510M;Ricoh MP 403;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Office;NO COMMENT;ed-central;subsuelo;farmacia
4;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;FARMACIA;10.0.3.137;10;DEPO-FARMA-01;I7;8GB;Windows 10 Pro;Gigabyte H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Office 2010;NO COMMENT;ed-central;subsuelo;farmacia
5;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;FARMACIA;10.0.3.119;10;DEPO-FARMA-05;I3;8GB;Windows 10 Pro;Gigabyte H81M;NO DATA;500GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Open Office;NO COMMENT;ed-central;subsuelo;farmacia
6;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;ESTERILIZACION;10.0.3.87;155;ESTERILIZ-2;I7;8GB;Windows 10 Pro;Gigabyte H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Office 2010;NO COMMENT;ed-central;subsuelo;esterilizacion
7;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;ESTERILIZACION;10.0.2.65;155;ESTERILIZACION;I7;8GB;Windows 10 Pro;Gigabyte H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Open Office;NO COMMENT;ed-central;subsuelo;esterilizacion
8;Ramos Mejia;EDIFICIO CENTRAL;SUBSUELO;LAVADERO;10.0.2.62;155;ROPERIA-01;I3;4GB;Windows 10 Pro;Gigabyte H61M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;Office 2010;NO COMMENT;ed-central;subsuelo;lavadero
9;Ramos Mejia;EDIFICIO CENTRAL;PLANTA BAJA;NUTRICION;10.0.3.4;10;N UTRICION;I7;8GB;Windows 10 Pro;Gigabyte H110M;NO DATA;1TB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;planta-baja;nutricion
10;Ramos Mejia;EDIFICIO CENTRAL;PLANTA BAJA;NUTRICION;10.0.3.240;10;NUTRICION-01;A8;4GB;Windows 10 Pro;Asrock;NO DATA;300GB ;HDD;NO DATA;NO DATA;NO DATA;NO DATA;NO DATA;NO COMMENT;ed-central;planta-baja;nutricion
